,Text,Label
0,excess imapti pour heterosexu electric_refriger snifter tri slowli sip angstrom black cherri color clearno haze mocha colored_person head head stopping_point hanker lace edg prevail second dark roast malt mild hop note dark fruitsfig thymin roast malt burn caramel ocean_sunfish just brink surfeit presenc hop balanc not bibul still detect back the iodin drink iodin privat brie chees meter slick syrupi full_moon bodi low carbon tight bubbl overal pretti good beer not much els market black barleywin one right fine line about much roast hopsand sweet good possibl smaller department_of_energi otherwis perfect cold fall night two nemesi brew 2010 this latter,1
1, rather surpris iodin review hanker ago not favorit manner beer good rendit larg sugari malt predomin experi rich_peopl hop resent underscor molass type sweet caramel brittl note blend coffe hop resent brand one think coffe hint dark ferment fruit seesaw slight belgian manner direct clear score ale flash singl malt whiskey detect edg tongu decid worth visit one privat malt bomb bitter edg,1
2, thank go goryshkewych roopy40 send extra you guy amaz pour deep black light visibl extrem edg doesn't pour head good whirl coaxial_c bubbl no lacig either the nose strong front bourbon woodi fictional_charact iodin besid get burn malt cocoa oatmeal light coffe bean resent well brittl caramel sweet iodin expect the tast return measur back bourbon although still oaki cocoa vanilla roast malt tofff light coffe note coat bourbon soft background mouthfeel midst iodin idea would probabl medium not syrupi low carbonatoin drinkabl good sipper certain overal iodin enjoy much regular bori return notch good materi i'd interest discoveri dori bend,1
3, angstrom pour rubi red two finger head the beer clear enough see get rose colored_person posit univers second strong fruityberri smell hint malt caramel thymin strong fruit tast truli beer complex rich_peopl fruit spirit this about everi fruit berri privat mendelevium the mouthfeel light review thing keep class sweet get quick,1
4, bottl pour crimson red nice downi light tan head olfactory_properti nose full_moon hop malt grapefruit hint caramel molass hop strong olfactory_properti good nice mouth feel pleasant resent grapefruit know malt rye tast like spirit iodin like possibl good beer,1
5, angstrom dark much head travel away rather fast like second cocoa high abv iodin acquir nice thymin cocoa sweet brittl meter nice sweet action mouth vitamin_d this go like 9% abv smooth three know nine abv,1
6, bottl roomtemp mug appear deep aureat honeycolor initi offwhit head steadili disappear some lace olfactory_properti sweet about hoppi one might expect desir note grapefruit grass tast evalu ipa posit back yard uncharacterist malti not about hoppi enough while resent come done no overwhel hop spirit found chiefli dwell carmelbutterscotch tast grassi kick obscur grapefruitcitrisi aftertast smooth coat normal atyp ipa mouthfeel rebuff buildup side tongu lightmedium bodi veri littl carbon drinkabl could enjoy consecut mere more ipa trainingwheel those begin broaden entreati hoppi beer other while iodin enjoy brew mere popul up usual expect ipa generat would recommend more hop hop differ point boil,1
7, iodin beer pat @ sunset grillroom & pat information_technolog pour dark amber two finger white head nice lace the smeel nice hoppi nice malt base the spirit follow suit nice balanc two alwasi nice spirit rye attention_deficit_disord be this beer nicelt carbon mouthfeel good beverag brew nighter,1
8, pick giant eagl waterfront 499 angstrom veri dark color rebuff rubi hue nice rebuff tint head second smell ash-grey charcoal smoke meat larg pork smell angstrom nice spot hop sweet malt boot thymin wow first turn kind surfeit one-half bottl first sip pretti smoki harsh ash-grey spirit iodin keep drink round sweet malt bring about pork loin ash-grey chop kind tast bacon like natur arsenic iodin get center hop becom appar meter medium bodi one good sipper though overal good small dose iodin state center great that 810 oz angstrom pint pat would rock univers overal nice rauchbier solid smoke tast pretti low-cost boot,1
9, pour approach black color dark brown head the head stay throughout consumpt the olfactory_properti dwell dark cocoa coffe hint alcohol the mouthfeel fullbodi pretti smooth this rich_peopl robust porter drink brand difficult distinguish what stout classifi porter sometim day the spirit load ampl sum dark roast malt astatin time espressolik qualiti emerg tast besid go amaz well 65% ale perfect dark winter night approach,1
10, pour aureat yellow coloring_materi small head disappear pretti quick minim lace smell clean_and_jerk fresh information_technolog quit sweet malti spirit littl hop go easili veri review chip beer would great summer beer,1
11, this beer pour opaqu signific caramel colored_person head good lace featur true descript bottl doubl cocoa coffe oatmeal stout coffe cocoa note semen strong nose the tast much differ would expect smell though sixti ibu right midpal alcohol present well this materi feel like whole milk mouth heavi delici manner,1
12, bottl six calendar_month year old midst syrupi black pour twelv finger tan head withdraw light cover coffe smooth cocoa dark fruit brand pleasant nose excel tast dark fruit backdrop rich_peopl smooth espresso dark cocoa high well integr great smooth oatmeal veri light hop end i'v rememb about good the age look treat high well six calendar_month year look perfect none spirit drop spirit mesh better mouthfeel decad smooth drinkabl good beer high recommend one better imperi stout i'v holocen memori,1
