Column1;;;;;;;;;;
"Too imaptient- poured straight from fridge into a snifter. Trying to slowly sip this...	 	A- black cherry color, clear/no haze. Mocha colored head. Head didn't last long, but the lacing on edge persists.		S- dark and roasted malts, mild hop notes and dark fruits...fig?		T- roasted malts, burnt caramel/ molases. Just at the brink of being too cloying but the presence of hops balances it out. Not too boozy but it's still detectable in the back. The more I drink this the more I want brie cheese...		M- slick and viscous. full bodied low carbonation with tighter bubbles.		Overall a pretty good beer. Not much else in the market for black barleywines but this one is right at that fine line of almost being too much between the roasts/ hops/and sweetness. Good perhaps in smaller doeses. Otherwise, perfect for cold autumn nights!		Two Nemesis's brewed in 2010. This is the latter.";;;;;;;;;;
"Kinda surprised I haven't reviewed this long ago. 	Not my favorite style of beer but this is a good rendition.	Big, sugary malts dominate the experience with a rich hops bitterness to underline the molasses type sweetness. Caramel and toffee notes mixed with coffee; the hops bitterness makes one think of coffee. 	Hints of dark, fermented fruit have this teeter slightly in the Belgian style direction but this is clearly a Scotch ale. Flashes of single malt whiskey can be detected at the edges of the tongue. 	Definitely worth a visit if one wants a malt bomb with some bitter edges.";;;;;;;;;;
"Thanks goes out to goryshkewych and roopy40 for each sending me extra's of this. You guys are awesome!		Pours a deep black, with light visible only at the extreme edges. Doesn't pour any head, but a good swirl coaxes some bubbles out. No lacig either.		The nose is strong up front with bourbon and woody characters. I also get burnt malts, chocolate and oatmeal, a light coffee bean bitterness as well as toffee and caramel. Sweeter than I expected.		The taste takes a step back from the bourbon, although it's still there. Oaky, with chocolate and vanilla, roasted malts and tofffe, a light coffee note in the finish. Bourbon softer and in the background.		Mouthfeel is not as thick as I thought it would be, probably about medium. Not very viscous, and has a low carbonatoin. Drinkability is good, a sipper for sure.		Overall, I enjoyed this much more than the regular BORIS, as it just takes it up a notch. Good stuff, I'd be interested to find out how the DORIS turns out.";;;;;;;;;;
"A - Pours a ruby red with two fingers of head. The beer is clear enough to see through, which if you do then you will get a rose colored view of the world.		S - Strong fruity/berry smell, with hints of malt and caramel.		T - Strong fruit taste that is really all there is to this beer, but it is a complex and rich fruit flavor. This is what almost every fruit berry wants to be.		M/D - The mouthfeel is light and refreshing, but the only thing keeping both of these categories is that the sweetness will get to you quickly.";;;;;;;;;;
from the bottle, poured crimson red with a nice fluffy light tan head aroma a nose full of hops, malts, grapefruits, hints of caramel, molasses. the hops were not as strong as the aroma which was good, nice mouth feel has a pleasant bitterness to it, grapefruit. do not know what malted rye taste like but there is a flavor in here that I like so maybe that is it. good beer.;;;;;;;;;;
"A- Dark with not much head that went away rather fast for my liking		S- Chocolate and high abv is what I am getting here, nice.		T- Chocolate and sweet toffee for me 		M- Nice sweet action on mouth 		D- This does not go down like the 9% abv . Smooth but after 3 you know that it does have that 9 abv !!";;;;;;;;;;
"(Bottle into Room-Temp Mug)		Appearance: Deep Golden (Honey-Colored) with Initial Off-White Head that Steadily Disappeared. Some Lace.		Aroma: Sweet and not Nearly as Hoppy as One Might Expect (Desire). Notes of Grapefruit and Grass		Taste: Rating from an IPA Perspective, Back Yard was Uncharacteristically Malty and Not Nearly Hoppy Enough. While the Bitterness Came Through, No Overwheling Hop Flavor was Found. Mainly Consists of a Carmel/Butterscotch taste with a Grassy Kick and a Vague Grapefruit/Citrisy Aftertaste. Smooth Finish Usually Atypical of most IPAs... 		Mouthfeel: Slight Build-Up on Sides of Tongue. Light-Medium Bodied with Very Little Carbonation.		Drinkability: Could be Enjoyed Consecutively, But More of an IPA with Trainingwheels for Those Beginning to Broaden their Appeal of Hoppy Beers.		Other: While I did Enjoy this Brew, it Simply did not Live Up to the Usual Expectations that most IPAs Generate. Would Recommend More Hops or Hopping at a Different Point of the Boil.";;;;;;;;;;
I had this beer on tap @ Sunset Grill & Tap. It pours a dark amber with a 2 fingered white head with very nice lacing. The smeel was very nice and hoppy, with a very nice malt base to it. The flavor followed suit, a very nice balance between the two and its alwasy nice what flavors the rye adds to beeds. This beer was nicelt carbonated and the mouthfeel was good and a drinkable brew, but not an all nighter.;;;;;;;;;;
"Picked this up at the Giant Eagle in the waterfront for 4.99		A - Very dark in color with slight ruby hues and a nice slight tinted head.		S - Smells of ashy charcoals and smoked meats, mostly pork in smell. A nice bit of hops and sweet malts to boot.		T - Wowed me at first but then turned kind of cloying after half the bottle. First sip's were pretty smoky with harsh ashy flavors but as I kept drinking it rounded with the sweet malt to bring an almost pork loin or ashy chop kind of taste. Bacon like in nature. As I got halfway the hops became more evident. 		M - Medium bodied this one is a good sipper though		Overall it's good in small doses as I said halfway through was great so thats 8-10 oz. A pint on tap would rock my world.		Overall a very nice Rauchbier with solid smoke taste, and pretty affordable to boot.";;;;;;;;;;
Pours near black in color with a dark brown head. The head remained throughout most of consumption. The aroma consists of dark chocolate, coffee and hints of alcohol. The mouthfeel is full-bodied and pretty smooth. This is a rich robust porter. Drinking this makes it hard to distinguish between what's a stout and what classifies as a porter sometimes these days. The flavor is loaded with ample amounts of dark roasted malt. At times an espresso-like quality emerges in the taste also. Goes down amazingly well for a 6.5% ale. Perfect for the dark winter nights that are coming.;;;;;;;;;;
Poured a golden yellow colour with a very small head that disappeared pretty quickly with minimal lacing. Smells clean and fresh. It has quite a sweet malty flavour with a little hop. Goes down very easily. Very refreshing crisp beer that would be a great summertime beer.;;;;;;;;;;
This beer pours opaque with a substantial caramel colored head that has good lacing characteristics. True to the description on the bottle (double chocolate coffee oatmeal stout), the coffee and chocolate notes come through strong on the nose. The taste isn't much different than would be expected from the smell... though the 60 IBU's are right there mid-palate with some alcohol present as well. This stuff feels like whole milk in your mouth... very heavy, but in a delicious way!;;;;;;;;;;
