,Text,Label
0,12oz bottl bottledon date septemb 10 pour black ink color dark tan head chunki head massiv spot fanat good aroma strong vanilla hint sweet cocoa spirit decid bourbon initi vanilla semen much strong warm add hint cocoa wood the bodi beer strang rocki head make fizzi mouth beer feel flat make undesir mouthfeel this one bare beverag even cold weather the vanilla strong without attach_to roast malt bodi beer topographic_point,0
1, pour twenty-two oz bottl standard pint glass form midst singl finger head color creami coffe quick dissip departur buttock lace black black bodylik glass full_moon melt asphalt you cannot forc light the nose combin cocoa coffe molass roast malt caramel background the tast start sweet creami caramel spirit slice bitter coffe coat the roast malt background throughout keep everyth perfect balanc black coffe aftertast linger devis privat the mouth feel thick side creami littl carbonationalmost perfect angstrom beverag beer the abv well hide complex spirit superintend exampl manner,0
2, pour cloudi honey like color thin layer white head no lace poor_peopl retent olfactory_properti familiar sweet wheat citrus qualiti tast pretti hapless slight malti wheati tone mouthfeel thin wateri robust carbon drinkabl bad spirit mouthfeel weak probabl best serv funnel,0
3, 750 millilit bottl courtesi myspoonistoobig thank michael pour dark brown stopping_point black small darkish tan head good retent leaf light lace glass the larg coffe dark cocoa vanilla spot bourbon oak light alcohol quit amaz the initi tast sweet dark cocoa semen batch coffe angstrom decent sum oak well spot vanilla bourbon the mapl well overpow the coat decent coffe resent medium bodi medium carbon great beer angstrom signific improv kilobit the coffe quit strong mapl sweet overpow iodin slight worri,0
4, angstrom brumous amber color one-half finger head dispers fine lace top brew second there decid pumpkin olfactory_properti present along usual pumpkin spice nutmeg light cinnamon light brittl malt thymin angstrom sweet malt fictional_charact light breadi pumpkin background along mild spice meter light tongu medium bodi spirit mild carbon oxygen overal ignit end pumpkin beer pumpkin ignit pumpkin spice quit tasti,0
5, hakim stoutin bottl queen sheeba restaur appearancepour midst black minim head seep glass thin viscoc smellcharco cocoa mixtur malt appar rebuff hop spirit well tastemouthfeelmuddl light cocoa tast alcohol exhaust light coffe note repress spirit wateri mouthfe notabl thin drinkabilitya littl jumbl overallnot success beer muddl weak stout recommend,0
6, get one breweri stopping_point fest one soon forget larg bottl pour much head left littl spot rebuff white ring edg bantam bubbl dark amber about light rootbeeri colored_person nice aroma dri hay sweet malt teensiest spot carbin spirit nice mild raw leaf alot spirit mouth easi drink enough tast drill enough heavi overpow good one overal,0
7, angstrom pour pretti clear light straw color two finger head dispers five minut smell herb_tea grassi hop olfactory_properti hint citrus angstrom typic good pilsner tast veri good balanc sweet malt hop possibl lean spot favor hop mouthfeel angstrom spot heavi mouthfeel due sweet carbon good longlast help begin heavi drinkabl information_technolog would street_fight drink heavi decent pil,0
8, angstrom angstrom slight cloudi version standard ale second excess spice excess sweet thymin my wife iodin frequent argu pumpkin pie spice iodin brand mine cinnamon clove nutmeg major spice insist add allspic this would type pie maltreat nutmeg allspic much meter the carbon about injuri brand remaind look thin vitamin_d lone quick noth els about iodin bias pumpkin ale iodin brew materi twice everi vacat season iodin feel ale season enjoy you notic spice pumpkin knock for express supernumerari beer probabl good one if quest someth might give faint remind good pumpkin pie spot much iodin know sweet approach could spice part besid spot overpow,0
9, buy eagl river liquor fulton illnoi the best beer shop one shop excel pint glass pour gluey honey orang gigant retent head lace lace ohio good pretti smell larg layer hop orang grapefruit fresh flower dri rose brown sugar fantast the nose semen absolut tast start bittersweet floral hop move bitter sour citrus grape fruit center segu about absolut strong brown sugar caramel malt the balanc damn approach perfect yet anoth excel beer folk founder the perfect balanc brand one easiestdrink ipa i'v ever semen across,0
10, thank wedge421 brew angstrom pour nice copper color nice full_moon finger downi head leaf nice lace second decid get amarillo hop citrus note larg grapefruit caramel malt elus spici rye remind arrog asshol thymin spici upfront small liquor presenc then grapefruit resent spirit pull caramel malt besid semen hour_angl clean_and_jerk rye spici end besid lemongrapefruit resent & possibl pine medium_frequ well carbon medium bodi brew veri smooth drinker vitamin_d good easi drinker rather affect,0
11, iodin pick jungl fairfield ohio this superintend malti brew information_technolog look alcohol army_for_the_liberation_of_rwanda outstand this manner strong opinion iodin buy angain the founder red rye army_for_the_liberation_of_rwanda superior offer much balanc enjoy,0
