,Text,Label
0,come brown one-half liter bottl good look motley label ingredi conform puriti law termin date 10803 iodin open 72603 angstrom standard pour produc atroci thin white head huge bubbl fortun iodin express head hanker the liquid reason healthi aureat hue ohio head the nose nasti iodin sulfur bad fruit the mouth flat sweetish the initi tast medic acid sour cloy iodin stun note reason nice hop coat filth the aftertast retain spot resent army_for_the_liberation_of_rwanda sour sweet iodin suspect bad bottl iodin rememb pat version iodin becom barium bad oregon possibl i'm sober,0
1, twelv oz bottl pour pint glass get bottl vacat beer exchang angstrom veri picket clear gold color white head slice quick second water sweet malt corn thymin wateri light sweet malt grain littl bitter end good hoppi bitter like lurch bitter meter chip light wateri vitamin_d beverag like season water beverag iodin guess desir chug wateri beer work privat drink beer spirit worth,0
2, appear pour rich_peopl amber color short_ton hop haze decid pale india picket ale about associate_in_nurs inch head form pacifi pour quick withdraw smell huge pine grapefruit equal larg malt fictional_charact support hop fruit punch caramel semen beer warm no notic alcohol tast high boldfac pitchi sweet equal balanc malt hop mango grapefruit lemon rind caramel incred intens reason beverag albeit slowli alcohol bare detect massiv hop resent malti sweet pitchi resent wholli devour palat coat relentless attack roof mouth mouthfeel gluey greasi midst surround downright cloy centrist carbon support one live slight beverag angstrom decent dipa heavi malt like actual heavi general beer delicaci,0
3, iodin can't imagin wors winter heater sure worst i'v ever the cinnamon wholli power tast everi ingredi ginger nutmeg where pour pretti cloy low carbon fourteen head express similar brown possibl twenty-thre sunglass dark great lake christma ale upon smell get cinnamon you know brach cinnamon phonograph_record candi information_technolog tast like iodin desir shit monetary_valu pay iodin choke after dori one favorit beer ever iodin excit attempt remaind batting_ord choos one mere atroci,0
4, twelv oz bottl best 8911 pour pint glass angstrom penni copper color one finger head settl quick departur spot lace suspend thin ring left surfac second nose brittl like featur muffl hoppi present littl pantri toast not bad noth stand area thymin ton iodin believ diacetyl iodin believ good day might departur biscuiti someth similar i'm acquir they'v achiev balanc there resent reconcili picket malt i'm affect meter light bodi light carbon oxygen this one i'd say averag brew possibl i'm miss someth manner iodin pleas one,0
5, twelv oz brown bottl foam white head much retent plenti notic carbon virtual lace high wateri faint shade dull straw color other beer clear corn rice metal coars skunki olfactory_properti well angstrom centrist wheat spirit join usual rice corn dynam typic light laager angstrom weak malt fictional_charact touch unflatt hop the skunki tax_return stopping_point throughout aftertast veri light bodi fizz farinac palat this abus word beer foot 35% abv spirit i'd rather drink water it shame sell return compani get rich_peopl crap,0
6, twenty-two oz bottl buy charleston beer exchang pour paulan weizen glass angstrom pour light orang color batch yellow blend the head iodin expect weizen beer what stopping_point hanker left lace sinc bubbl larg second banana spice spot bubbl chewing_gum yeast olfactory_properti mix brand classic hefe olfactory_properti information_technolog invit fruiti pleasant other manner thymin the tast follow nose howev spice look spot top enjoy iodin like fruit star parti hefe information_technolog look aggress manner meter the spice brand mark suffer spot information_technolog aggress mouth information_technolog besid spot thin manner tast iodin believ part due lack carbon compar other vitamin_d the spice injuri iodin knock back like iodin mani exampl manner,0
7, five_hundr millilit bottl pour pint glass i'm certain classified_ad esb say picket ale right bottl look allow manner well anyhow pour midst rich_peopl offwhit head foam sit atop reddishbrown brown red brew clear clean_and_jerk smell interest some faint sweet possibl floral and wild grain pick tast bitter about piquant like hop use iodin found tast difficult enjoy although mouthfeel fine not like attempt anytim soon,0
8, bottl pour standard shaker pint glass iodin need save snifter new year day footballfriend tomorrow no fresh date readili visibl bottl larg 102% score ale like iodin expect age issu angstrom brumous dark brown color nice champagn one finger white head dispers quick information_technolog leav centrist sum nice lace glass iodin work second huge sweet smell prune licoric dark fruit sugarcoat sugar detect even iodin pour iodin even attempt put_opt nose glass trial when iodin go nose iodin choic littl alcohol well thymin tast follow nose dark fruit sugarcoat sugar alcohol presenc iodin decid choic bourbonbarrel spirit this second bourbonbarrel age brew goos island bouron counti stout i'd similar charachterist iodin think that good indic i'm pick *notes* iodin the tast quick bend cool light carbon full_moon dark fruit sugarcoat sugar move quick center tast the beer coat distinct sweetnesspuck bourbon warm boozi tongu meter this beer wellcarbon gluey sweet mouth coat boozywarm feel vitamin_d iodin think iodin much care bourbonbarrel age beer this beer batch interest thing departur angstrom littl bibul i'd like truli overwhelm bourbonsweet bend and 102% probabl privat pound sever given night even wish,0
9, bottl acrylonitrile-butadiene-styren drink outsid bruxell from note split friend angstrom dark copper visibl carbon slight brumous thin cap beig head second citrus grapefruit ting note pineappl thymin citrus bread pineappl obvious meter medium carbon full_moon bodi excess bitter doctor_of_optometri underwhelm not hop bomb not excess hoppi bad not iodin expect great,0
10, iodin town baronet beer tour this thing truli cool if town attempt drive ton beer ohio yea alright beer army_for_the_liberation_of_rwanda 10oz pour color cherri red this thing bright red go tast fruiti spirit bite hop brand littl interest iodin surpris hoppi weigh 65% bartend state inform beer make sun enjoy all beer would brand primetim list even repeat beer list mean good hoppi fan surpris red,0
11, twelv ounc bottl 2010 batch pour aggress pint glass even aggress pour two finger slight offwhit head form atop chill haze amber liquid some lace appar throughout to honest look littl drill the smell remind batch bell oberon decid malt forward bill iodin suspect least wheat use domin wheat angstrom littl sour sour faint detect i'm certain iodin would identifi cherri iodin know tast good larg pucker sweet & sour cherri danc topographic_point one this attempt beer none cherri spirit tast artifici either it great vehicl michigan cherri spirit iodin dock one-half point coat hanker littl gluey particular good manner arsenic state unpleas cohes mouthfeel unpleas coat the overal feel initi medium bodi full_moon malt round drinkabl might littl averag the spirit great miss area if coat tweak better would session even nice beer attempt kind iodin privat mani iodin would bargain probabl follow year iodin recommend everi season offer,0
12, although list strong dark ale spirit truli strike manner although visual_percept abv high surpris spirit profil flemish brown ale sweettart front brown sugar sour cherri mouthfeel spot thin departur wateri toward coat iodin admit spot creepedout label artwork,0
13, iodin pat lamin brewpub the blackboard describ massiv sum strawberri cherri pomegran the beer brumous pink color look littl like strawberri daquiri the smell intens fruiti alon beer ton strawberri olfactory_properti much malt olfactory_properti background fruit the tast prostitut about sour fruit bad well massiv fruiti angstrom littl picket malt backround detect end sip larg strong fruit excess bitter tast beverag might expect interest brew one make if bottl iodin attempt,0
14, twelv oz bottl 67% abv interest read wide scope reapprais beer quit polar love leav iodin guess dark yet transluc orang veri larg headsoap soapsud bubbl island lace left glass iodin smell coupl time brand certain iodin departur crazythi smell like iodin idea would with edgi neon bottl artwork huge inscript ipa stomp front fact pacif northwest version iodin idea i'd serious citrus cone hop reason altern herb_tea hop woodi crude malt semen mix about medic creation differ alright medium bodiedoili mouthfeel not certain iodin could drink mani sittingth spirit swing togeth like shouldand brew tri base_on_bal ipa departur show hop fictional_charact respect book sure look fit boldfac american manner girl mark i'v get anoth bottl comparison one i'm think bad bottlei'm think mere subpar beer,0
15, choic beer calendar_month baseball_club pour pint glass dark rubi color nice white head lace veri sweet olfactory_properti brittl caramel roast malt crude hop bitter tast hop pick malt brittl still sweet littl alcohol medium bodi enough carbon sinc i'm larg picket ale fan beer manner iodin put_opt privat list howev typic picket ale,0
